Account,Day,Details,Amount,Balance,Transaction ID,Business Name
Justin Mitchell (Karvin Kween Daily Wage),413,Wage,-312.0,2575756.0,9.0,Karvin Kween
Bradley Turner (Karvin Kween Daily Wage),413,Wage,-90.0,2576068.0,9.0,Karvin Kween
Lara Wright (Elite Couture Daily Wage),413,Wage,-232.0,2576458.0,2.0,Elite Couture
Mollie Martinez (Kalico Midtown Daily Wage),413,Wage,-150.0,2575446.0,4.0,Kalico Midtown
Traci Parker (Elite Jewels Daily Wage),413,Wage,-208.0,2576933.0,3.0,Elite Jewels
Curtis Norris (Elite Jewels Daily Wage),413,Wage,-138.0,2577141.0,3.0,Elite Jewels
Abbie Lopez (Katar Midtown Daily Wage),413,Wage,-336.0,2577279.0,13.0,Katar Midtown
Lily Barton (Katalytica Midtown Daily Wage),413,Wage,-258.0,2578343.0,12.0,Katalytica
Tommy Brooks (Katalytica Midtown Daily Wage),413,Wage,-44.0,2578299.0,12.0,Katalytica
Maya Turner (Karvin Kween Daily Wage),413,Wage,-128.0,2577615.0,9.0,Karvin Kween
Frederick Kelly (Elite Couture Daily Wage),413,Wage,-243.0,2576690.0,2.0,Elite Couture
Tristan Barker (Katalytica Midtown Daily Wage),413,Wage,-402.0,2577743.0,12.0,Katalytica
Lara Norris (Warehouse #1 Daily Wage),413,Wage,-153.9,2578145.0,,
Lois Ross (Katalytica Midtown Daily Wage),414,Wage,-936.0,2630725.0,12.0,Katalytica
Annie Edwards (Katalytica Midtown Daily Wage),414,Wage,-704.0,2616981.0,12.0,Katalytica
Christen Hughes (Katalytica Midtown Daily Wage),414,Wage,-664.0,2630061.0,12.0,Katalytica
Sofia Cook (Katalytica Midtown Daily Wage),414,Wage,-728.0,2617685.0,12.0,Katalytica
Madeleine Scott (Katalytica Midtown Daily Wage),414,Wage,-728.0,2629333.0,12.0,Katalytica
Raymond Jenkins (Katalytica Midtown Daily Wage),414,Wage,-1112.0,2628221.0,12.0,Katalytica
Lillie Peterson (Katalytica Midtown Daily Wage),414,Wage,-856.0,2627365.0,12.0,Katalytica
Natalie Cook (Katalytica Midtown Daily Wage),414,Wage,-832.0,2625925.0,12.0,Katalytica
Curtis Baker (Katalytica Midtown Daily Wage),414,Wage,-600.0,2625325.0,12.0,Katalytica
Lydia Martin (Katalytica Midtown Daily Wage),414,Wage,-504.0,2624821.0,12.0,Katalytica
Harriet Carr (Katalytica Midtown Daily Wage),414,Wage,-496.0,2618413.0,12.0,Katalytica
Taylor Campbell (Katalytica Midtown Daily Wage),414,Wage,-1248.0,2623573.0,12.0,Katalytica
Isaac Edwards (Katalytica Midtown Daily Wage),414,Wage,-736.0,2622837.0,12.0,Katalytica
Stanley Casey (Katalytica Midtown Daily Wage),414,Wage,-704.0,2622133.0,12.0,Katalytica
Yasmin Wilson (Katalytica Midtown Daily Wage),414,Wage,-1016.0,2620381.0,12.0,Katalytica
Hollie Rogers (Katalytica Midtown Daily Wage),414,Wage,-600.0,2618909.0,12.0,Katalytica
Alan Torres (Katalytica Midtown Daily Wage),414,Wage,-872.0,2619509.0,12.0,Katalytica
Margie Stewart (Katalytica Midtown Daily Wage),414,Wage,-608.0,2626757.0,12.0,Katalytica
Ben Stewart (Katalytica Midtown Daily Wage),414,Wage,-1016.0,2631661.0,12.0,Katalytica
Sally Ross (Katalytica Midtown Daily Wage),414,Wage,-1248.0,2639237.0,12.0,Katalytica
Nannie Gray (Katalytica Midtown Daily Wage),414,Wage,-968.0,2633205.0,12.0,Katalytica
Stephanie Wilson (Karakata Associates Daily Wage),414,Wage,-616.0,2646829.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),414,Wage,-912.0,2645917.0,5.0,Karakata Associates
Summer Sullivan (Katalytica Midtown Daily Wage),414,Wage,-568.0,2616413.0,12.0,Katalytica
Naomi Robinson (Karakata Associates Daily Wage),414,Wage,-984.0,2647445.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),414,Wage,-736.0,2645181.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),414,Wage,-40.0,2645141.0,5.0,Karakata Associates
Clara Williams (Elite Jewels Daily Wage),414,Wage,-496.0,2644645.0,3.0,Elite Jewels
Zoe Campbell (Karakata Holdings Daily Wage),414,Wage,-232.0,2644413.0,,
Theodore Brown (Karakata Holdings Daily Wage),414,Wage,-160.0,2644253.0,,
Annabel Myers (Katalytica Midtown Daily Wage),414,Wage,-680.0,2643573.0,12.0,Katalytica
Traci Hughes (Katalytica Midtown Daily Wage),414,Wage,-1016.0,2642557.0,12.0,Katalytica
Michelle Ross (Katalytica Midtown Daily Wage),414,Wage,-904.0,2641653.0,12.0,Katalytica
Georgia Howell (Katalytica Midtown Daily Wage),414,Wage,-1168.0,2640485.0,12.0,Katalytica
Eloise Watson (Katalytica Midtown Daily Wage),414,Wage,-1272.0,2637965.0,12.0,Katalytica
Natasha Williams (Katalytica Midtown Daily Wage),414,Wage,-1144.0,2635749.0,12.0,Katalytica
Tobias Barker (Katalytica Midtown Daily Wage),414,Wage,-488.0,2635261.0,12.0,Katalytica
Margie Morgan (Katalytica Midtown Daily Wage),414,Wage,-1088.0,2634173.0,12.0,Katalytica
Dell Nelson (Katalytica Midtown Daily Wage),414,Wage,-528.0,2632677.0,12.0,Katalytica
Jason Russell (Katalytica Midtown Daily Wage),414,Wage,-1168.0,2615245.0,12.0,Katalytica
Maya Roberts (Katalytica Midtown Daily Wage),414,Wage,-736.0,2621397.0,12.0,Katalytica
Patrick Walker (Katalytica Midtown Daily Wage),414,Wage,-1208.0,2613021.0,12.0,Katalytica
Pax Cox (Katalytica HK Daily Wage),414,Wage,-48.0,2599093.0,12.0,Katalytica
Eva Smith (Karvin Kween Daily Wage),414,Wage,-200.0,2598893.0,9.0,Karvin Kween
Public parking for UMC Desert,414,PublicParking,-120.0,2598773.0,,
Public parking for Petrolls Fanton,414,PublicParking,-120.0,2598653.0,,
Public parking for Freight Truck T1,414,PublicParking,-180.0,2598473.0,,
Public parking for Anselmo AF90,414,PublicParking,-180.0,2598293.0,,
The Suits Law Firm Revenue,414,Revenue,76800.0,2674892.0,18.0,The Suits Law Firm
Katalytica HK Revenue,414,Revenue,19200.0,2693290.0,12.0,Katalytica
Karakata Associates Revenue,414,Revenue,6840.0,2700029.0,5.0,Karakata Associates
Kalico Midtown Revenue,414,Revenue,28923.0,2728635.0,4.0,Kalico Midtown
Karvin Kween Revenue,414,Revenue,9660.0,2737680.0,9.0,Karvin Kween
Elite Couture Revenue,414,Revenue,81400.0,2818568.0,2.0,Elite Couture
The Green Salad Revenue,414,Revenue,16760.0,2835078.0,17.0,The Green Salad
Elite Jewels Revenue,414,Revenue,255800.0,3089719.0,3.0,Elite Jewels
Katalytica Midtown Revenue,414,Revenue,201600.0,3290784.0,12.0,Katalytica
Katar Midtown Revenue,414,Revenue,60933.0,3350559.0,13.0,Katar Midtown
Sonny Mitchell (Karakata Associates Daily Wage),414,Wage,-968.0,2648429.0,5.0,Karakata Associates
Sonny Foster (Katalytica HK Daily Wage),414,Wage,-984.0,2599141.0,12.0,Katalytica
Rosie Garcia (Katalytica Midtown Daily Wage),414,Wage,-1016.0,2614229.0,12.0,Katalytica
Cloten Walker (Katalytica HK Daily Wage),414,Wage,-752.0,2600125.0,12.0,Katalytica
Catherine Adams (Katalytica HK Daily Wage),414,Wage,-832.0,2601725.0,12.0,Katalytica
Josephine Clark (Katalytica Midtown Daily Wage),414,Wage,-384.0,2612637.0,12.0,Katalytica
Sofia Garcia (Katalytica Midtown Daily Wage),414,Wage,-416.0,2612221.0,12.0,Katalytica
Curtis Green (Katalytica Midtown Daily Wage),414,Wage,-528.0,2611693.0,12.0,Katalytica
Christen Wilson (Katalytica Midtown Daily Wage),414,Wage,-432.0,2611261.0,12.0,Katalytica
Maya Hubbard (Katalytica Midtown Daily Wage),414,Wage,-392.0,2610869.0,12.0,Katalytica
Kevin Wright (Katalytica Midtown Daily Wage),414,Wage,-344.0,2610525.0,12.0,Katalytica
Yasmin Garcia (Katalytica Midtown Daily Wage),414,Wage,-352.0,2610173.0,12.0,Katalytica
Louise Green (Katalytica Midtown Daily Wage),414,Wage,-368.0,2609805.0,12.0,Katalytica
Marino Parker (Katalytica Midtown Daily Wage),414,Wage,-344.0,2609461.0,12.0,Katalytica
Taylor Green (Katalytica HK Daily Wage),414,Wage,-632.0,2608829.0,12.0,Katalytica
Sebastian Hughes (Katalytica HK Daily Wage),414,Wage,-752.0,2608077.0,12.0,Katalytica
Annabel Morris (Katalytica HK Daily Wage),414,Wage,-1296.0,2606781.0,12.0,Katalytica
Sebastian Miles (Katalytica HK Daily Wage),414,Wage,-472.0,2606309.0,12.0,Katalytica
Tristan Smith (Katalytica HK Daily Wage),414,Wage,-664.0,2605645.0,12.0,Katalytica
Vincent Butler (Katalytica HK Daily Wage),414,Wage,-1128.0,2604517.0,12.0,Katalytica
Summer Peterson (Katalytica HK Daily Wage),414,Wage,-688.0,2603829.0,12.0,Katalytica
Westbrook Lee (Katalytica HK Daily Wage),414,Wage,-1272.0,2602557.0,12.0,Katalytica
Sandy Hughes (Katalytica HK Daily Wage),414,Wage,-848.0,2600877.0,12.0,Katalytica
Kevin Bennett (The Suits Law Firm Daily Wage),414,Wage,-56.0,2649397.0,18.0,The Suits Law Firm
Eliza Brooks (Katalytica Midtown Daily Wage),414,Wage,-1072.0,2636893.0,12.0,Katalytica
Louise Gomez (The Suits Law Firm Daily Wage),414,Wage,-1600.0,2650581.0,18.0,The Suits Law Firm
Marketing campaigns for Katalytica HK,414,Marketing,-2750.0,3037974.0,12.0,Katalytica
Marketing campaigns for Karakata Associates,414,Marketing,-500.0,3037474.0,5.0,Karakata Associates
Marketing campaigns for Kalico Midtown,414,Marketing,-2750.0,3034724.0,4.0,Kalico Midtown
Marketing campaigns for Karvin Kween,414,Marketing,-1350.0,3033374.0,9.0,Karvin Kween
Marketing campaigns for Elite Couture,414,Marketing,-1350.0,3032024.0,2.0,Elite Couture
Marketing campaigns for The Green Salad,414,Marketing,-1350.0,3030674.0,17.0,The Green Salad
Marketing campaigns for Elite Jewels,414,Marketing,-9350.0,3021324.0,3.0,Elite Jewels
Marketing campaigns for The Suits Law Firm,414,Marketing,-2750.0,3040724.0,18.0,The Suits Law Firm
Marketing campaigns for Katalytica Midtown,414,Marketing,-6350.0,3014974.0,12.0,Katalytica
Bank negative interest rate,414,BankNegativeInterestRate,-330618.6,2675005.0,,
Evie Jones (Katalytica Midtown Daily Wage),414,Wage,-448.0,2674978.0,12.0,Katalytica
Lily Barton (Katalytica Midtown Daily Wage),414,Wage,-344.0,2674634.0,12.0,Katalytica
Zoe Gomez (Elite Jewels Daily Wage),414,Wage,-256.0,2674378.0,3.0,Elite Jewels
Tommy Brooks (Katalytica Midtown Daily Wage),414,Wage,-44.0,2674334.0,12.0,Katalytica
Christian Hall (Karakata Holdings Daily Wage),414,Wage,-184.0,2674150.0,,
Merit Johnson (Karakata Holdings Daily Wage),414,Wage,-224.0,2673926.0,,
Marketing campaigns for Katar Midtown,414,Marketing,-9350.0,3005624.0,13.0,Katar Midtown
Delivery from JetCargo Imports,414,ImportDelivery,-2642.844,3043474.0,,
Delivery from United Ocean Import ,414,ImportDelivery,-174249.4,3046116.0,,
Delivery from SeaSide Internationals,414,ImportDelivery,-24734.2,3220366.0,,
42 3rd Street rent revenue,414,RentRevenue,243.8545,2578424.0,,
44 3rd Street rent revenue,414,RentRevenue,177.2649,2578601.0,,
31 1st Avenue Rent,414,Rent,-201.106,2545587.0,,
14 2nd Avenue Rent,414,Rent,-731.0999,2631256.0,,
9 1st Street Rent,414,Rent,-70.98742,2631185.0,,
59 3rd Street Rent,414,Rent,-75.99196,2652409.0,,
29 5th Avenue Rent,414,Rent,-24.32862,2652385.0,,
29 1st Avenue Rent,414,Rent,-317.3102,2660903.0,,
24 2nd Avenue Rent,414,Rent,-460.3931,2684504.0,,
3 2nd Avenue Rent,414,Rent,-154.5364,2684350.0,,
21 5th Avenue Rent,414,Rent,-145.9717,2695724.0,,
5 8th Street Rent,414,Rent,-135.4097,2695358.0,,
19 1st Avenue Rent,414,Rent,-250.508,2785848.0,,
30 2nd Avenue Rent,414,Rent,-1158.506,2800285.0,,
44 1st Avenue Rent,414,Rent,-535.2296,3115250.0,,
6 3rd Avenue Rent,414,Rent,-1158.506,3214891.0,,
Delivery from BlueStone Imports,414,ImportDelivery,-34981.51,3245100.0,,
Katherine Moss (Elite Jewels Daily Wage),414,Wage,-250.0,2673676.0,3.0,Elite Jewels
Lara Norris (Warehouse #1 Daily Wage),414,Wage,-153.9,2673522.0,,
33 5th Avenue Rent,414,Rent,-230.1557,2695494.0,,
Olivia Cox (Katalytica Midtown Daily Wage),414,Wage,-432.0,2672890.0,12.0,Katalytica
Wilhelmina Cooper (Kalico Midtown Daily Wage),414,Wage,-264.0,2668317.0,4.0,Kalico Midtown
Leon Powell (Kalico Midtown Daily Wage),414,Wage,-256.0,2668061.0,4.0,Kalico Midtown
Leah Martin (The Suits Law Firm Daily Wage),414,Wage,-1128.0,2649453.0,18.0,The Suits Law Firm
Ralph Hughes (The Green Salad Daily Wage),414,Wage,-228.0,2667833.0,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),414,Wage,-700.0,2667133.0,17.0,The Green Salad
Zoe Cooper (The Green Salad Daily Wage),414,Wage,-868.0,2666265.0,17.0,The Green Salad
Mark Nelson (Katar Midtown Daily Wage),414,Wage,-516.0,2665749.0,13.0,Katar Midtown
Ruth Gray (The Suits Law Firm Daily Wage),414,Wage,-1632.0,2664117.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),414,Wage,-1400.0,2662717.0,18.0,The Suits Law Firm
Helen Richardson (The Suits Law Firm Daily Wage),414,Wage,-1600.0,2661117.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),414,Wage,-1512.0,2659605.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),414,Wage,-888.0,2658717.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),414,Wage,-1024.0,2657693.0,18.0,The Suits Law Firm
Grover Brown (Karakata Holdings Daily Wage),414,Wage,-200.0,2673322.0,,
Elise Sanchez (The Suits Law Firm Daily Wage),414,Wage,-1368.0,2654981.0,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),414,Wage,-1456.0,2653525.0,18.0,The Suits Law Firm
Isabel Roberts (The Suits Law Firm Daily Wage),414,Wage,-1344.0,2652181.0,18.0,The Suits Law Firm
Joel Rogers (Kalico Midtown Daily Wage),414,Wage,-90.0,2668581.0,4.0,Kalico Midtown
Eve Sullivan (Kalico Midtown Daily Wage),414,Wage,-240.0,2668671.0,4.0,Kalico Midtown
Ava Rogers (The Suits Law Firm Daily Wage),414,Wage,-1344.0,2656349.0,18.0,The Suits Law Firm
Mollie Martinez (Kalico Midtown Daily Wage),414,Wage,-200.0,2669103.0,4.0,Kalico Midtown
Oscar Evans (Katar Midtown Daily Wage),414,Wage,-69.0,2671773.0,13.0,Katar Midtown
Maya Turner (Karvin Kween Daily Wage),414,Wage,-288.0,2672066.0,9.0,Karvin Kween
Annabelle Stewart (Katar Midtown Daily Wage),414,Wage,-396.0,2671377.0,13.0,Katar Midtown
Tristan Barker (Katalytica Midtown Daily Wage),414,Wage,-536.0,2672354.0,12.0,Katalytica
Traci Miles (Karakata Holdings Daily Wage),414,Wage,-192.0,2668911.0,,
Mollie Jenkins (Karakata Holdings Daily Wage),414,Wage,-224.0,2671842.0,,
Douglas Collins (Karakata Holdings Daily Wage),414,Wage,-44.0,2671255.0,,
Lara Wright (Elite Couture Daily Wage),414,Wage,-232.0,2671023.0,2.0,Elite Couture
Traci Parker (Elite Jewels Daily Wage),414,Wage,-78.0,2671299.0,3.0,Elite Jewels
Scarlett Davis (Elite Couture Daily Wage),414,Wage,-297.0,2670726.0,2.0,Elite Couture
Zachary Hill (Warehouse #2 Daily Wage),414,Wage,-159.6,2669303.0,,
Christen Butler (Elite Jewels Daily Wage),414,Wage,-240.0,2670486.0,3.0,Elite Jewels
Georgina Lopez (Karakata Holdings Daily Wage),414,Wage,-192.0,2669462.0,,
Katie Ward (Elite Jewels Daily Wage),414,Wage,-192.0,2670294.0,3.0,Elite Jewels
Kathryn James (Karakata Holdings Daily Wage),414,Wage,-208.0,2669654.0,,
Eliza Owens (Katar Midtown Daily Wage),414,Wage,-432.0,2669862.0,13.0,Katar Midtown
Christen Wilson (Katalytica Midtown Daily Wage),415,Wage,-432.0,1749844.0,12.0,Katalytica
Sofia Cook (Katalytica Midtown Daily Wage),415,Wage,-728.0,1756268.0,12.0,Katalytica
Annie Edwards (Katalytica Midtown Daily Wage),415,Wage,-704.0,1755564.0,12.0,Katalytica
Jason Russell (Katalytica Midtown Daily Wage),415,Wage,-1168.0,1753828.0,12.0,Katalytica
Maya Hubbard (Katalytica Midtown Daily Wage),415,Wage,-392.0,1749452.0,12.0,Katalytica
Rosie Garcia (Katalytica Midtown Daily Wage),415,Wage,-1016.0,1752812.0,12.0,Katalytica
Patrick Walker (Katalytica Midtown Daily Wage),415,Wage,-1208.0,1751604.0,12.0,Katalytica
Josephine Clark (Katalytica Midtown Daily Wage),415,Wage,-384.0,1751220.0,12.0,Katalytica
Sofia Garcia (Katalytica Midtown Daily Wage),415,Wage,-416.0,1750804.0,12.0,Katalytica
Curtis Green (Katalytica Midtown Daily Wage),415,Wage,-528.0,1750276.0,12.0,Katalytica
Summer Sullivan (Katalytica Midtown Daily Wage),415,Wage,-568.0,1754996.0,12.0,Katalytica
Harriet Carr (Katalytica Midtown Daily Wage),415,Wage,-496.0,1756996.0,12.0,Katalytica
Stanley Casey (Katalytica Midtown Daily Wage),415,Wage,-704.0,1760716.0,12.0,Katalytica
Alan Torres (Katalytica Midtown Daily Wage),415,Wage,-872.0,1758092.0,12.0,Katalytica
Lois Ross (Katalytica Midtown Daily Wage),415,Wage,-936.0,1769308.0,12.0,Katalytica
Christen Hughes (Katalytica Midtown Daily Wage),415,Wage,-664.0,1768644.0,12.0,Katalytica
Madeleine Scott (Katalytica Midtown Daily Wage),415,Wage,-728.0,1767916.0,12.0,Katalytica
Raymond Jenkins (Katalytica Midtown Daily Wage),415,Wage,-1112.0,1766804.0,12.0,Katalytica
Lillie Peterson (Katalytica Midtown Daily Wage),415,Wage,-856.0,1765948.0,12.0,Katalytica
Margie Stewart (Katalytica Midtown Daily Wage),415,Wage,-608.0,1765340.0,12.0,Katalytica
Hollie Rogers (Katalytica Midtown Daily Wage),415,Wage,-600.0,1757492.0,12.0,Katalytica
Natalie Cook (Katalytica Midtown Daily Wage),415,Wage,-832.0,1764508.0,12.0,Katalytica
Lydia Martin (Katalytica Midtown Daily Wage),415,Wage,-504.0,1763404.0,12.0,Katalytica
Taylor Campbell (Katalytica Midtown Daily Wage),415,Wage,-1248.0,1762156.0,12.0,Katalytica
Isaac Edwards (Katalytica Midtown Daily Wage),415,Wage,-736.0,1761420.0,12.0,Katalytica
Kevin Wright (Katalytica Midtown Daily Wage),415,Wage,-344.0,1749108.0,12.0,Katalytica
Maya Roberts (Katalytica Midtown Daily Wage),415,Wage,-736.0,1759980.0,12.0,Katalytica
Yasmin Wilson (Katalytica Midtown Daily Wage),415,Wage,-1016.0,1758964.0,12.0,Katalytica
Curtis Baker (Katalytica Midtown Daily Wage),415,Wage,-600.0,1763908.0,12.0,Katalytica
Yasmin Garcia (Katalytica Midtown Daily Wage),415,Wage,-352.0,1748756.0,12.0,Katalytica
Vincent Butler (Katalytica HK Daily Wage),415,Wage,-1128.0,1743100.0,12.0,Katalytica
Marino Parker (Katalytica Midtown Daily Wage),415,Wage,-344.0,1748044.0,12.0,Katalytica
Ben Stewart (Katalytica Midtown Daily Wage),415,Wage,-1016.0,1770244.0,12.0,Katalytica
The Green Salad Revenue,415,Revenue,16716.0,1950371.0,17.0,The Green Salad
Elite Couture Revenue,415,Revenue,73050.0,1933906.0,2.0,Elite Couture
Karvin Kween Revenue,415,Revenue,8520.0,1861367.0,9.0,Karvin Kween
Kalico Midtown Revenue,415,Revenue,28367.0,1853462.0,4.0,Kalico Midtown
Karakata Associates Revenue,415,Revenue,6840.0,1825413.0,5.0,Karakata Associates
Elite Jewels Revenue,415,Revenue,249800.0,2199013.0,3.0,Elite Jewels
Katalytica HK Revenue,415,Revenue,16800.0,1818673.0,12.0,Katalytica
Katalytica Midtown Revenue,415,Revenue,193600.0,2392078.0,12.0,Katalytica
The Suits Law Firm Revenue,415,Revenue,66000.0,1802675.0,18.0,The Suits Law Firm
Public parking for Anselmo AF90,415,PublicParking,-180.0,1736876.0,,
Public parking for Freight Truck T1,415,PublicParking,-180.0,1737056.0,,
Public parking for Petrolls Fanton,415,PublicParking,-120.0,1737236.0,,
Louise Green (Katalytica Midtown Daily Wage),415,Wage,-368.0,1748388.0,12.0,Katalytica
Public parking for UMC Desert,415,PublicParking,-120.0,1737356.0,,
Katar Midtown Revenue,415,Revenue,61776.0,2452695.0,13.0,Katar Midtown
Pax Cox (Katalytica HK Daily Wage),415,Wage,-48.0,1737676.0,12.0,Katalytica
Sonny Foster (Katalytica HK Daily Wage),415,Wage,-984.0,1737724.0,12.0,Katalytica
Cloten Walker (Katalytica HK Daily Wage),415,Wage,-752.0,1738708.0,12.0,Katalytica
Sandy Hughes (Katalytica HK Daily Wage),415,Wage,-848.0,1739460.0,12.0,Katalytica
Catherine Adams (Katalytica HK Daily Wage),415,Wage,-832.0,1740308.0,12.0,Katalytica
Westbrook Lee (Katalytica HK Daily Wage),415,Wage,-1272.0,1741140.0,12.0,Katalytica
Summer Peterson (Katalytica HK Daily Wage),415,Wage,-688.0,1742412.0,12.0,Katalytica
Tristan Smith (Katalytica HK Daily Wage),415,Wage,-664.0,1744228.0,12.0,Katalytica
Sebastian Miles (Katalytica HK Daily Wage),415,Wage,-472.0,1744892.0,12.0,Katalytica
Annabel Morris (Katalytica HK Daily Wage),415,Wage,-1296.0,1745364.0,12.0,Katalytica
Sebastian Hughes (Katalytica HK Daily Wage),415,Wage,-752.0,1746660.0,12.0,Katalytica
Taylor Green (Katalytica HK Daily Wage),415,Wage,-632.0,1747412.0,12.0,Katalytica
Eva Smith (Karvin Kween Daily Wage),415,Wage,-200.0,1737476.0,9.0,Karvin Kween
Nannie Gray (Katalytica Midtown Daily Wage),415,Wage,-968.0,1771788.0,12.0,Katalytica
Dell Nelson (Katalytica Midtown Daily Wage),415,Wage,-528.0,1771260.0,12.0,Katalytica
21 5th Avenue Rent,415,Rent,-145.9717,2737534.0,,
Mark Nelson (Katar Midtown Daily Wage),415,Wage,-516.0,1804052.0,13.0,Katar Midtown
Marketing campaigns for Katar Midtown,415,Marketing,-9350.0,3312709.0,13.0,Katar Midtown
Marketing campaigns for Katalytica Midtown,415,Marketing,-6350.0,3322059.0,12.0,Katalytica
Marketing campaigns for Elite Jewels,415,Marketing,-9350.0,3328409.0,3.0,Elite Jewels
Marketing campaigns for The Green Salad,415,Marketing,-1350.0,3337759.0,17.0,The Green Salad
Marketing campaigns for Elite Couture,415,Marketing,-1350.0,3339109.0,2.0,Elite Couture
Marketing campaigns for Kalico Midtown,415,Marketing,-2750.0,3341809.0,4.0,Kalico Midtown
Marketing campaigns for Karakata Associates,415,Marketing,-500.0,3344559.0,5.0,Karakata Associates
Marketing campaigns for Katalytica HK,415,Marketing,-2750.0,3345059.0,12.0,Katalytica
Marketing campaigns for The Suits Law Firm,415,Marketing,-2750.0,3347809.0,18.0,The Suits Law Firm
6 3rd Avenue Rent,415,Rent,-1158.506,3289626.0,,
44 1st Avenue Rent,415,Rent,-535.2296,3089184.0,,
30 2nd Avenue Rent,415,Rent,-1158.506,2833919.0,,
19 1st Avenue Rent,415,Rent,-250.508,2818318.0,,
5 8th Street Rent,415,Rent,-135.4097,2737168.0,,
33 5th Avenue Rent,415,Rent,-230.1557,2737304.0,,
3 2nd Avenue Rent,415,Rent,-154.5364,2728020.0,,
24 2nd Avenue Rent,415,Rent,-460.3931,2728175.0,,
29 1st Avenue Rent,415,Rent,-317.3102,2699712.0,,
29 5th Avenue Rent,415,Rent,-24.32862,2693189.0,,
59 3rd Street Rent,415,Rent,-75.99196,2693214.0,,
9 1st Street Rent,415,Rent,-70.98742,2674090.0,,
14 2nd Avenue Rent,415,Rent,-731.0999,2674161.0,,
31 1st Avenue Rent,415,Rent,-201.106,2598092.0,,
Margie Morgan (Katalytica Midtown Daily Wage),415,Wage,-1088.0,1772756.0,12.0,Katalytica
42 3rd Street rent revenue,415,RentRevenue,243.8545,2675249.0,,
44 3rd Street rent revenue,415,RentRevenue,177.2649,2675426.0,,
Zoe Foster (Katar Midtown Daily Wage),415,Wage,-300.0,1803752.0,13.0,Katar Midtown
Ruth Gray (The Suits Law Firm Daily Wage),415,Wage,-1632.0,1802120.0,18.0,The Suits Law Firm
Marketing campaigns for Karvin Kween,415,Marketing,-1350.0,3340459.0,9.0,Karvin Kween
Helen Richardson (The Suits Law Firm Daily Wage),415,Wage,-1600.0,1799120.0,18.0,The Suits Law Firm
Georgia Howell (Katalytica Midtown Daily Wage),415,Wage,-1168.0,1779068.0,12.0,Katalytica
Eloise Watson (Katalytica Midtown Daily Wage),415,Wage,-1272.0,1776548.0,12.0,Katalytica
Michelle Ross (Katalytica Midtown Daily Wage),415,Wage,-904.0,1780236.0,12.0,Katalytica
Eliza Brooks (Katalytica Midtown Daily Wage),415,Wage,-1072.0,1775476.0,12.0,Katalytica
Traci Hughes (Katalytica Midtown Daily Wage),415,Wage,-1016.0,1781140.0,12.0,Katalytica
Natasha Williams (Katalytica Midtown Daily Wage),415,Wage,-1144.0,1774332.0,12.0,Katalytica
Annabel Myers (Katalytica Midtown Daily Wage),415,Wage,-680.0,1782156.0,12.0,Katalytica
Ava Powell (The Suits Law Firm Daily Wage),415,Wage,-1400.0,1800720.0,18.0,The Suits Law Firm
Tobias Barker (Katalytica Midtown Daily Wage),415,Wage,-488.0,1773844.0,12.0,Katalytica
Theodore Brown (Karakata Holdings Daily Wage),415,Wage,-160.0,1782836.0,,
Zoe Campbell (Karakata Holdings Daily Wage),415,Wage,-232.0,1782996.0,,
Curtis Harris (Katar Midtown Daily Wage),415,Wage,-252.0,1783228.0,13.0,Katar Midtown
Sally Ross (Katalytica Midtown Daily Wage),415,Wage,-1248.0,1777820.0,12.0,Katalytica
Homer Foster (Karakata Associates Daily Wage),415,Wage,-736.0,1783520.0,5.0,Karakata Associates
Sadie Powell (Karakata Associates Daily Wage),415,Wage,-40.0,1783480.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),415,Wage,-616.0,1785168.0,5.0,Karakata Associates
Daisy Williams (The Suits Law Firm Daily Wage),415,Wage,-1512.0,1797608.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),415,Wage,-888.0,1796720.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),415,Wage,-1024.0,1795696.0,18.0,The Suits Law Firm
Ava Rogers (The Suits Law Firm Daily Wage),415,Wage,-1344.0,1794352.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),415,Wage,-1368.0,1792984.0,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),415,Wage,-1456.0,1791528.0,18.0,The Suits Law Firm
Roosevelt Wright (Karakata Associates Daily Wage),415,Wage,-912.0,1784256.0,5.0,Karakata Associates
Isabel Roberts (The Suits Law Firm Daily Wage),415,Wage,-1008.0,1790520.0,18.0,The Suits Law Firm
Louise Gomez (The Suits Law Firm Daily Wage),415,Wage,-1600.0,1788920.0,18.0,The Suits Law Firm
