Account,Day,Details,Amount,Balance
Marketing campaigns for Katara Jewels,125,Marketing,-100.0,129736.9
Evie Jones (Katalytica Daily Wage),125,Wage,-448.0,129288.9
Zoe Gomez (Elite Jewels Daily Wage),125,Wage,-64.0,129224.9
Tommy Brooks (Katalytica Daily Wage),125,Wage,-44.0,129180.9
Katherine Moss (Elite Jewels Daily Wage),125,Wage,-50.0,129130.9
Maria Willis (Katara Jewels Daily Wage),125,Wage,-200.0,128777.0
Lindsey Richardson (Katara Jewels Daily Wage),125,Wage,-200.0,128577.0
Olivia Cox (Katalytica Daily Wage),125,Wage,-432.0,128145.0
Maya Turner (Elite Jewels Daily Wage),125,Wage,-192.0,127953.0
Raymond Watson (Elite Jewels Daily Wage),125,Wage,-232.0,127721.0
Elite Jewels Revenue,125,Revenue,16000.0,143656.7
Katalytica Revenue,125,Revenue,2400.0,145878.2
Katara Jewels Revenue,125,Revenue,1200.0,147036.0
Marketing campaigns for Elite Jewels,126,Marketing,-500.0,84108.49
Marketing campaigns for Katalytica,126,Marketing,-750.0,83358.49
Marketing campaigns for Katara Jewels,126,Marketing,-100.0,83258.49
Lily Barton (Katalytica Daily Wage),126,Wage,-258.0,83000.49
Tommy Brooks (Katalytica Daily Wage),126,Wage,-44.0,82956.49
Olivia Cox (Katalytica Daily Wage),126,Wage,-432.0,82370.59
Tristan Barker (Katalytica Daily Wage),126,Wage,-536.0,81834.59
Maya Turner (Elite Jewels Daily Wage),126,Wage,-128.0,81706.59
Raymond Watson (Elite Jewels Daily Wage),126,Wage,-174.0,81532.59
Elite Jewels Revenue,126,Revenue,10000.0,91468.27
Katalytica Revenue,126,Revenue,2400.0,93689.8
Marketing campaigns for Elite Jewels,127,Marketing,-500.0,93147.6
Marketing campaigns for Katalytica,127,Marketing,-750.0,92397.6
Marketing campaigns for Katara Jewels,127,Marketing,-100.0,92297.6
Evie Jones (Katalytica Daily Wage),127,Wage,-448.0,44498.88
Lily Barton (Katalytica Daily Wage),127,Wage,-344.0,44154.88
Zoe Gomez (Elite Jewels Daily Wage),127,Wage,-256.0,43898.88
Tommy Brooks (Katalytica Daily Wage),127,Wage,-44.0,43854.88
Katherine Moss (Elite Jewels Daily Wage),127,Wage,-100.0,43346.88
Maria Willis (Katara Jewels Daily Wage),127,Wage,-200.0,42792.98
Lindsey Richardson (Katara Jewels Daily Wage),127,Wage,-200.0,42592.98
Olivia Cox (Katalytica Daily Wage),127,Wage,-432.0,42160.98
Maya Turner (Elite Jewels Daily Wage),127,Wage,-160.0,42000.98
Elite Jewels Revenue,127,Revenue,14000.0,55936.66
Katalytica Revenue,127,Revenue,1200.0,56958.18
Katara Jewels Revenue,127,Revenue,1200.0,58115.98
Marketing campaigns for Elite Jewels,128,Marketing,-500.0,57615.98
Marketing campaigns for Katalytica,128,Marketing,-750.0,56865.98
Marketing campaigns for Katara Jewels,128,Marketing,-100.0,56765.98
Marketing campaigns for Elite Jewels,128,Marketing,-500.0,56262.98
Marketing campaigns for Katalytica,128,Marketing,-500.0,55762.98
Marketing campaigns for Katara Jewels,128,Marketing,-500.0,55262.98
Evie Jones (Katalytica Daily Wage),128,Wage,-448.0,54811.98
Lily Barton (Katalytica Daily Wage),128,Wage,-344.0,54467.98
Zoe Gomez (Elite Jewels Daily Wage),128,Wage,-256.0,54211.98
Tommy Brooks (Katalytica Daily Wage),128,Wage,-44.0,54167.98
Katherine Moss (Elite Jewels Daily Wage),128,Wage,-25.0,53734.98
Maria Willis (Katara Jewels Daily Wage),128,Wage,-200.0,53181.08
Lindsey Richardson (Katara Jewels Daily Wage),128,Wage,-200.0,52981.08
Olivia Cox (Katalytica Daily Wage),128,Wage,-432.0,52549.08
Elite Jewels Revenue,128,Revenue,14000.0,66484.77
Katalytica Revenue,128,Revenue,4050.0,70356.3
Katara Jewels Revenue,128,Revenue,600.0,70914.09
Marketing campaigns for Elite Jewels,129,Marketing,-500.0,70414.09
Marketing campaigns for Katalytica,129,Marketing,-500.0,69914.09
Marketing campaigns for Katara Jewels,129,Marketing,-500.0,69414.09
Evie Jones (Katalytica Daily Wage),129,Wage,-448.0,68966.09
Zoe Gomez (Elite Jewels Daily Wage),129,Wage,-256.0,68710.09
Tommy Brooks (Katalytica Daily Wage),129,Wage,-44.0,68666.09
Katherine Moss (Elite Jewels Daily Wage),129,Wage,-25.0,68233.09
Maria Willis (Katara Jewels Daily Wage),129,Wage,-200.0,67679.2
Lindsey Richardson (Katara Jewels Daily Wage),129,Wage,-200.0,67479.2
Olivia Cox (Katalytica Daily Wage),129,Wage,-432.0,67047.2
Tristan Barker (Katalytica Daily Wage),129,Wage,-536.0,66511.2
Elite Jewels Revenue,129,Revenue,24000.0,90446.88
Katalytica Revenue,129,Revenue,6900.0,97168.41
Katara Jewels Revenue,129,Revenue,1000.0,98126.2
Marketing campaigns for Elite Jewels,130,Marketing,-500.0,97626.2
Marketing campaigns for Katalytica,130,Marketing,-500.0,97126.2
Marketing campaigns for Katara Jewels,130,Marketing,-500.0,96626.2
Evie Jones (Katalytica Daily Wage),130,Wage,-448.0,86172.2
Zoe Gomez (Elite Jewels Daily Wage),130,Wage,-32.0,86140.2
Tommy Brooks (Katalytica Daily Wage),130,Wage,-44.0,86096.2
Katherine Moss (Elite Jewels Daily Wage),130,Wage,-200.0,85488.2
Olivia Cox (Katalytica Daily Wage),130,Wage,-432.0,84702.3
Tristan Barker (Katalytica Daily Wage),130,Wage,-536.0,84166.3
Elite Jewels Revenue,130,Revenue,24600.0,108702.0
Katalytica Revenue,130,Revenue,6900.0,115423.5
Marketing campaigns for Elite Jewels,131,Marketing,-500.0,114881.3
Marketing campaigns for Katalytica,131,Marketing,-500.0,114381.3
Evie Jones (Katalytica Daily Wage),131,Wage,-448.0,113933.3
Lily Barton (Katalytica Daily Wage),131,Wage,-344.0,113589.3
Zoe Gomez (Elite Jewels Daily Wage),131,Wage,-32.0,113557.3
Tommy Brooks (Katalytica Daily Wage),131,Wage,-44.0,113513.3
Katherine Moss (Elite Jewels Daily Wage),131,Wage,-200.0,112905.3
Tristan Barker (Katalytica Daily Wage),131,Wage,-402.0,112149.4
Elite Jewels Revenue,131,Revenue,14600.0,126685.1
Katalytica Revenue,131,Revenue,9200.0,135706.6
Marketing campaigns for Elite Jewels,132,Marketing,-500.0,135164.4
Marketing campaigns for Katalytica,132,Marketing,-500.0,134664.4
Evie Jones (Katalytica Daily Wage),132,Wage,-448.0,134216.4
Zoe Gomez (Elite Jewels Daily Wage),132,Wage,-32.0,134184.4
Tommy Brooks (Katalytica Daily Wage),132,Wage,-44.0,134140.4
Katherine Moss (Elite Jewels Daily Wage),132,Wage,-200.0,133940.4
Olivia Cox (Katalytica Daily Wage),132,Wage,-432.0,133354.5
Elite Jewels Revenue,132,Revenue,5200.0,138490.2
Katalytica Revenue,132,Revenue,12000.0,150311.8
Marketing campaigns for Elite Jewels,133,Marketing,-500.0,149769.5
Marketing campaigns for Katalytica,133,Marketing,-500.0,149269.5
Lily Barton (Katalytica Daily Wage),133,Wage,-258.0,144911.5
Zoe Gomez (Elite Jewels Daily Wage),133,Wage,-96.0,144815.5
Tommy Brooks (Katalytica Daily Wage),133,Wage,-44.0,144771.5
Katherine Moss (Elite Jewels Daily Wage),133,Wage,-75.0,144696.5
Olivia Cox (Katalytica Daily Wage),133,Wage,-432.0,144110.6
Tristan Barker (Katalytica Daily Wage),133,Wage,-536.0,143574.6
Elite Jewels Revenue,133,Revenue,3600.0,147102.8
Katalytica Revenue,133,Revenue,12000.0,158924.4
Marketing campaigns for Elite Jewels,134,Marketing,-500.0,158382.2
Marketing campaigns for Katalytica,134,Marketing,-500.0,157882.2
Evie Jones (Katalytica Daily Wage),134,Wage,-448.0,139067.1
Lily Barton (Katalytica Daily Wage),134,Wage,-344.0,138723.1
Zoe Gomez (Elite Jewels Daily Wage),134,Wage,-256.0,138467.1
Tommy Brooks (Katalytica Daily Wage),134,Wage,-44.0,138423.1
Katherine Moss (Elite Jewels Daily Wage),134,Wage,-25.0,137990.1
Olivia Cox (Katalytica Daily Wage),134,Wage,-432.0,137204.2
Elite Jewels Revenue,134,Revenue,4000.0,141139.9
Katalytica Revenue,134,Revenue,6000.0,146961.5
Marketing campaigns for Elite Jewels,135,Marketing,-500.0,83991.71
Marketing campaigns for Katalytica,135,Marketing,-500.0,83491.71
Evie Jones (Katalytica Daily Wage),135,Wage,-448.0,79833.71
Lily Barton (Katalytica Daily Wage),135,Wage,-344.0,79489.71
Zoe Gomez (Elite Jewels Daily Wage),135,Wage,-256.0,79233.71
Tommy Brooks (Katalytica Daily Wage),135,Wage,-44.0,79189.71
Katherine Moss (Elite Jewels Daily Wage),135,Wage,-25.0,78756.71
Olivia Cox (Katalytica Daily Wage),135,Wage,-432.0,77970.81
Elite Jewels Revenue,135,Revenue,4400.0,82276.49
Katalytica Revenue,135,Revenue,6000.0,88098.02
Marketing campaigns for Elite Jewels,136,Marketing,-500.0,71034.8
Marketing campaigns for Katalytica,136,Marketing,-500.0,70534.8
Marketing campaigns for Karvin Kueen,136,Marketing,-500.0,67578.8
Evie Jones (Katalytica Daily Wage),136,Wage,-448.0,67127.8
Zoe Gomez (Elite Jewels Daily Wage),136,Wage,-256.0,66871.8
Tommy Brooks (Katalytica Daily Wage),136,Wage,-44.0,66827.8
Maria Willis (Karvin Kueen Daily Wage),136,Wage,-25.0,66040.91
Lindsey Richardson (Elite Jewels Daily Wage),136,Wage,-200.0,65840.91
Olivia Cox (Katalytica Daily Wage),136,Wage,-432.0,65408.91
Tristan Barker (Katalytica Daily Wage),136,Wage,-536.0,64872.91
Maya Turner (Karvin Kueen Daily Wage),136,Wage,-32.0,64840.91
Elite Jewels Revenue,136,Revenue,3200.0,67836.59
Katalytica Revenue,136,Revenue,6000.0,73658.12
Marketing campaigns for Elite Jewels,137,Marketing,-500.0,73115.91
Marketing campaigns for Katalytica,137,Marketing,-500.0,72615.91
Marketing campaigns for Karvin Kueen,137,Marketing,-500.0,72115.91
Evie Jones (Katalytica Daily Wage),137,Wage,-448.0,71587.91
Tommy Brooks (Katalytica Daily Wage),137,Wage,-44.0,71543.91
Katherine Moss (Elite Jewels Daily Wage),137,Wage,-200.0,70935.91
Maria Willis (Karvin Kueen Daily Wage),137,Wage,-200.0,70382.02
Lindsey Richardson (Elite Jewels Daily Wage),137,Wage,-200.0,70182.02
Olivia Cox (Katalytica Daily Wage),137,Wage,-432.0,69750.02
Tristan Barker (Katalytica Daily Wage),137,Wage,-536.0,69214.02
Maya Turner (Karvin Kueen Daily Wage),137,Wage,-32.0,69182.02
Elite Jewels Revenue,137,Revenue,4400.0,73293.7
Katalytica Revenue,137,Revenue,6000.0,79115.23
Karvin Kueen Revenue,137,Revenue,5085.0,84158.02
Marketing campaigns for Elite Jewels,138,Marketing,-500.0,83658.02
Marketing campaigns for Katalytica,138,Marketing,-500.0,83158.02
Marketing campaigns for Karvin Kueen,138,Marketing,-500.0,82658.02
Evie Jones (Katalytica Daily Wage),138,Wage,-448.0,82210.02
Lily Barton (Katalytica Daily Wage),138,Wage,-344.0,81866.02
Zoe Gomez (Elite Jewels Daily Wage),138,Wage,-32.0,81834.02
Tommy Brooks (Katalytica Daily Wage),138,Wage,-44.0,81790.02
Katherine Moss (Elite Jewels Daily Wage),138,Wage,-200.0,81182.02
Maria Willis (Karvin Kueen Daily Wage),138,Wage,-100.0,80728.13
Tristan Barker (Katalytica Daily Wage),138,Wage,-402.0,80326.13
Maya Turner (Karvin Kueen Daily Wage),138,Wage,-160.0,80166.13
Elite Jewels Revenue,138,Revenue,800.0,80677.8
Katalytica Revenue,138,Revenue,14000.0,94499.34
Karvin Kueen Revenue,138,Revenue,3760.0,98217.13
Marketing campaigns for Elite Jewels,139,Marketing,-500.0,97717.13
Marketing campaigns for Katalytica,139,Marketing,-500.0,97217.13
Marketing campaigns for Karvin Kueen,139,Marketing,-500.0,96717.13
Evie Jones (Katalytica Daily Wage),139,Wage,-448.0,96269.13
Zoe Gomez (Elite Jewels Daily Wage),139,Wage,-32.0,96237.13
Tommy Brooks (Katalytica Daily Wage),139,Wage,-44.0,96193.13
Katherine Moss (Elite Jewels Daily Wage),139,Wage,-200.0,95993.13
Maria Willis (Karvin Kueen Daily Wage),139,Wage,-100.0,95739.23
Olivia Cox (Katalytica Daily Wage),139,Wage,-432.0,95307.23
Maya Turner (Karvin Kueen Daily Wage),139,Wage,-160.0,95147.23
Katalytica Revenue,139,Revenue,12000.0,106904.4
Karvin Kueen Revenue,139,Revenue,3760.0,110622.2
Marketing campaigns for Elite Jewels,140,Marketing,-500.0,110122.2
Marketing campaigns for Katalytica,140,Marketing,-500.0,109622.2
Marketing campaigns for Karvin Kueen,140,Marketing,-500.0,109122.2
Lily Barton (Katalytica Daily Wage),140,Wage,-258.0,108858.2
Zoe Gomez (Elite Jewels Daily Wage),140,Wage,-96.0,108762.2
Tommy Brooks (Katalytica Daily Wage),140,Wage,-44.0,108718.2
Katherine Moss (Elite Jewels Daily Wage),140,Wage,-75.0,108643.2
Maria Willis (Karvin Kueen Daily Wage),140,Wage,-75.0,108414.3
Olivia Cox (Katalytica Daily Wage),140,Wage,-432.0,107982.3
Tristan Barker (Katalytica Daily Wage),140,Wage,-536.0,107446.3
Maya Turner (Karvin Kueen Daily Wage),140,Wage,-192.0,107254.3
Katalytica Revenue,140,Revenue,14000.0,121011.6
Karvin Kueen Revenue,140,Revenue,3760.0,124729.4
Marketing campaigns for Elite Jewels,141,Marketing,-500.0,124229.4
Marketing campaigns for Katalytica,141,Marketing,-500.0,123729.4
Marketing campaigns for Karvin Kueen,141,Marketing,-500.0,123229.4
Evie Jones (Katalytica Daily Wage),141,Wage,-448.0,109226.1
Lily Barton (Katalytica Daily Wage),141,Wage,-344.0,108882.1
Zoe Gomez (Elite Jewels Daily Wage),141,Wage,-256.0,108626.1
Tommy Brooks (Katalytica Daily Wage),141,Wage,-44.0,108582.1
Maria Willis (Karvin Kueen Daily Wage),141,Wage,-200.0,107620.2
Lindsey Richardson (Elite Jewels Daily Wage),141,Wage,-200.0,107420.2
Olivia Cox (Katalytica Daily Wage),141,Wage,-432.0,106988.2
Maya Turner (Karvin Kueen Daily Wage),141,Wage,-32.0,106956.2
Elite Jewels Revenue,141,Revenue,13500.0,120167.9
Katalytica Revenue,141,Revenue,6000.0,125989.4
Karvin Kueen Revenue,141,Revenue,3370.0,129317.2
Marketing campaigns for Elite Jewels,142,Marketing,-500.0,128817.2
Marketing campaigns for Katalytica,142,Marketing,-500.0,128317.2
Marketing campaigns for Karvin Kueen,142,Marketing,-500.0,127817.2
Evie Jones (Katalytica Daily Wage),142,Wage,-448.0,127369.2
Lily Barton (Katalytica Daily Wage),142,Wage,-344.0,127025.2
Zoe Gomez (Elite Jewels Daily Wage),142,Wage,-256.0,126769.2
Tommy Brooks (Katalytica Daily Wage),142,Wage,-44.0,126725.2
Maria Willis (Karvin Kueen Daily Wage),142,Wage,-200.0,125763.3
Lindsey Richardson (Elite Jewels Daily Wage),142,Wage,-200.0,125563.3
Olivia Cox (Katalytica Daily Wage),142,Wage,-432.0,125131.3
Maya Turner (Karvin Kueen Daily Wage),142,Wage,-32.0,125099.3
Elite Jewels Revenue,142,Revenue,15500.0,140311.0
Katalytica Revenue,142,Revenue,6000.0,146132.6
Karvin Kueen Revenue,142,Revenue,3370.0,149460.4
Marketing campaigns for Elite Jewels,143,Marketing,-500.0,148960.4
Marketing campaigns for Katalytica,143,Marketing,-500.0,148460.4
Marketing campaigns for Karvin Kueen,143,Marketing,-500.0,147960.4
Evie Jones (Katalytica Daily Wage),143,Wage,-448.0,147512.4
Zoe Gomez (Elite Jewels Daily Wage),143,Wage,-256.0,147256.4
Tommy Brooks (Katalytica Daily Wage),143,Wage,-44.0,147212.4
Maria Willis (Karvin Kueen Daily Wage),143,Wage,-200.0,146250.5
Lindsey Richardson (Elite Jewels Daily Wage),143,Wage,-200.0,146050.5
Olivia Cox (Katalytica Daily Wage),143,Wage,-432.0,145618.5
Tristan Barker (Katalytica Daily Wage),143,Wage,-536.0,145082.5
Maya Turner (Karvin Kueen Daily Wage),143,Wage,-32.0,145050.5
Elite Jewels Revenue,143,Revenue,16000.0,160762.1
Katalytica Revenue,143,Revenue,6000.0,166583.7
Karvin Kueen Revenue,143,Revenue,2860.0,169401.5
Marketing campaigns for Elite Jewels,144,Marketing,-500.0,168901.5
Marketing campaigns for Katalytica,144,Marketing,-500.0,168401.5
Marketing campaigns for Karvin Kueen,144,Marketing,-500.0,167901.5
Evie Jones (Katalytica Daily Wage),144,Wage,-448.0,167187.5
Tommy Brooks (Katalytica Daily Wage),144,Wage,-44.0,167143.5
Katherine Moss (Elite Jewels Daily Wage),144,Wage,-200.0,166696.5
Maria Willis (Karvin Kueen Daily Wage),144,Wage,-200.0,166142.6
Lindsey Richardson (Elite Jewels Daily Wage),144,Wage,-200.0,165942.6
Olivia Cox (Katalytica Daily Wage),144,Wage,-432.0,165510.6
Tristan Barker (Katalytica Daily Wage),144,Wage,-536.0,164974.6
Maya Turner (Karvin Kueen Daily Wage),144,Wage,-32.0,164942.6
Elite Jewels Revenue,144,Revenue,16000.0,180654.3
Katalytica Revenue,144,Revenue,6000.0,186475.8
Karvin Kueen Revenue,144,Revenue,1500.0,187933.6
Marketing campaigns for Elite Jewels,145,Marketing,-500.0,187433.6
Marketing campaigns for Katalytica,145,Marketing,-500.0,186933.6
Marketing campaigns for Karvin Kueen,145,Marketing,-500.0,186433.6
Evie Jones (Katalytica Daily Wage),145,Wage,-448.0,185979.6
Lily Barton (Katalytica Daily Wage),145,Wage,-344.0,185635.6
Zoe Gomez (Elite Jewels Daily Wage),145,Wage,-32.0,185603.6
Tommy Brooks (Katalytica Daily Wage),145,Wage,-44.0,185559.6
Katherine Moss (Elite Jewels Daily Wage),145,Wage,-200.0,185135.6
Maria Willis (Karvin Kueen Daily Wage),145,Wage,-100.0,184681.7
Tristan Barker (Katalytica Daily Wage),145,Wage,-402.0,184279.7
Maya Turner (Karvin Kueen Daily Wage),145,Wage,-160.0,184119.7
Elite Jewels Revenue,145,Revenue,16000.0,199831.4
Katalytica Revenue,145,Revenue,6000.0,205652.9
Karvin Kueen Revenue,145,Revenue,2980.0,208590.7
Marketing campaigns for Elite Jewels,146,Marketing,-500.0,208090.7
Marketing campaigns for Katalytica,146,Marketing,-500.0,207590.7
Marketing campaigns for Karvin Kueen,146,Marketing,-500.0,207090.7
Evie Jones (Katalytica Daily Wage),146,Wage,-448.0,180790.2
Tommy Brooks (Katalytica Daily Wage),146,Wage,-44.0,180746.2
Katherine Moss (Elite Jewels Daily Wage),146,Wage,-200.0,180546.2
Maria Willis (Karvin Kueen Daily Wage),146,Wage,-100.0,180292.3
Lindsey Richardson (Elite Jewels Daily Wage),146,Wage,-100.0,180192.3
Olivia Cox (Katalytica Daily Wage),146,Wage,-432.0,179760.3
Maya Turner (Karvin Kueen Daily Wage),146,Wage,-160.0,179600.3
Elite Jewels Revenue,146,Revenue,14000.0,193536.0
Katalytica Revenue,146,Revenue,12000.0,205271.8
Karvin Kueen Revenue,146,Revenue,3570.0,208799.5
Marketing campaigns for Elite Jewels,147,Marketing,-500.0,208299.5
Marketing campaigns for Katalytica,147,Marketing,-500.0,207799.5
Marketing campaigns for Karvin Kueen,147,Marketing,-500.0,207299.5
Lily Barton (Katalytica Daily Wage),147,Wage,-258.0,193791.5
Zoe Gomez (Elite Jewels Daily Wage),147,Wage,-160.0,193631.5
Tommy Brooks (Katalytica Daily Wage),147,Wage,-44.0,193587.5
Katherine Moss (Elite Jewels Daily Wage),147,Wage,-100.0,193487.5
Lindsey Richardson (Elite Jewels Daily Wage),147,Wage,-100.0,193233.6
Olivia Cox (Katalytica Daily Wage),147,Wage,-432.0,192801.6
Tristan Barker (Katalytica Daily Wage),147,Wage,-536.0,192265.6
Maya Turner (Karvin Kueen Daily Wage),147,Wage,-192.0,192073.6
Elite Jewels Revenue,147,Revenue,18000.0,210009.3
Katalytica Revenue,147,Revenue,12000.0,221745.1
Karvin Kueen Revenue,147,Revenue,2805.0,224507.9
Marketing campaigns for Elite Jewels,148,Marketing,-500.0,224007.9
Marketing campaigns for Katalytica,148,Marketing,-500.0,223507.9
Marketing campaigns for Karvin Kueen,148,Marketing,-500.0,223007.9
Evie Jones (Katalytica Daily Wage),148,Wage,-448.0,185723.0
Lily Barton (Katalytica Daily Wage),148,Wage,-344.0,185379.0
Zoe Gomez (Elite Jewels Daily Wage),148,Wage,-256.0,185123.0
Tommy Brooks (Katalytica Daily Wage),148,Wage,-44.0,185079.0
Maria Willis (Karvin Kueen Daily Wage),148,Wage,-200.0,184117.1
Lindsey Richardson (Elite Jewels Daily Wage),148,Wage,-125.0,183992.1
Olivia Cox (Katalytica Daily Wage),148,Wage,-432.0,183560.1
Maya Turner (Karvin Kueen Daily Wage),148,Wage,-32.0,183528.1
Elite Jewels Revenue,148,Revenue,16000.0,199239.8
Katalytica Revenue,148,Revenue,6000.0,204975.6
Karvin Kueen Revenue,148,Revenue,2210.0,207143.4
Marketing campaigns for Elite Jewels,149,Marketing,-500.0,173094.2
Marketing campaigns for Katalytica,149,Marketing,-500.0,172594.2
Marketing campaigns for Karvin Kueen,149,Marketing,-500.0,172094.2
Evie Jones (Katalytica Daily Wage),149,Wage,-448.0,171646.2
Lily Barton (Katalytica Daily Wage),149,Wage,-344.0,171302.2
Zoe Gomez (Elite Jewels Daily Wage),149,Wage,-256.0,171046.2
Tommy Brooks (Katalytica Daily Wage),149,Wage,-44.0,171002.2
Maria Willis (Karvin Kueen Daily Wage),149,Wage,-200.0,170240.3
Lindsey Richardson (Elite Jewels Daily Wage),149,Wage,-125.0,170115.3
Olivia Cox (Katalytica Daily Wage),149,Wage,-432.0,169683.3
Maya Turner (Karvin Kueen Daily Wage),149,Wage,-32.0,169651.3
Elite Jewels Revenue,149,Revenue,16000.0,185363.0
Katalytica Revenue,149,Revenue,6000.0,191098.8
Karvin Kueen Revenue,149,Revenue,1530.0,192586.5
Marketing campaigns for Elite Jewels,150,Marketing,-500.0,192086.5
Marketing campaigns for Katalytica,150,Marketing,-500.0,191586.5
Marketing campaigns for Karvin Kueen,150,Marketing,-500.0,191086.5
Zoe Gomez (Elite Jewels Daily Wage),150,Wage,-256.0,190830.5
Tommy Brooks (Katalytica Daily Wage),150,Wage,-44.0,190786.5
Maria Willis (Karvin Kueen Daily Wage),150,Wage,-200.0,189824.6
Lindsey Richardson (Elite Jewels Daily Wage),150,Wage,-125.0,189699.6
Olivia Cox (Katalytica Daily Wage),150,Wage,-432.0,189267.6
Tristan Barker (Katalytica Daily Wage),150,Wage,-536.0,188731.6
Maya Turner (Karvin Kueen Daily Wage),150,Wage,-32.0,188699.6
Oscar Evans (Katar Spirits Daily Wage),150,Wage,-46.0,188429.6
Annabelle Stewart (Katar Spirits Daily Wage),150,Wage,-264.0,188165.6
Elite Jewels Revenue,150,Revenue,16000.0,204101.3
Katar Spirits Revenue,150,Revenue,1017.0,204982.2
Katalytica Revenue,150,Revenue,6000.0,210854.1
Karvin Kueen Revenue,150,Revenue,1360.0,212171.9
Marketing campaigns for Elite Jewels,151,Marketing,-500.0,211671.9
Marketing campaigns for Katalytica,151,Marketing,-500.0,211171.9
Marketing campaigns for Karvin Kueen,151,Marketing,-500.0,210671.9
Marketing campaigns for Katar Spirits,151,Marketing,-500.0,210091.9
Evie Jones (Katalytica Daily Wage),151,Wage,-448.0,209643.9
Tommy Brooks (Katalytica Daily Wage),151,Wage,-44.0,209599.9
Katherine Moss (Elite Jewels Daily Wage),151,Wage,-200.0,208991.9
Maria Willis (Karvin Kueen Daily Wage),151,Wage,-200.0,208438.0
Lindsey Richardson (Elite Jewels Daily Wage),151,Wage,-125.0,208313.0
Olivia Cox (Katalytica Daily Wage),151,Wage,-432.0,207881.0
Tristan Barker (Katalytica Daily Wage),151,Wage,-536.0,207345.0
Maya Turner (Karvin Kueen Daily Wage),151,Wage,-32.0,207313.0
Oscar Evans (Katar Spirits Daily Wage),151,Wage,-46.0,207043.0
Annabelle Stewart (Katar Spirits Daily Wage),151,Wage,-198.0,206845.0
Abbie Lopez (Katar Spirits Daily Wage),151,Wage,-56.0,206789.0
Elite Jewels Revenue,151,Revenue,16000.0,222724.7
Katar Spirits Revenue,151,Revenue,2391.0,224979.6
Katalytica Revenue,151,Revenue,5000.0,229851.5
Karvin Kueen Revenue,151,Revenue,1870.0,231679.3
Marketing campaigns for Elite Jewels,152,Marketing,-500.0,231179.3
Marketing campaigns for Katar Spirits,152,Marketing,-500.0,230679.3
Marketing campaigns for Katalytica,152,Marketing,-500.0,230179.3
Marketing campaigns for Karvin Kueen,152,Marketing,-500.0,229679.3
Evie Jones (Katalytica Daily Wage),152,Wage,-448.0,224025.3
Tommy Brooks (Katalytica Daily Wage),152,Wage,-44.0,223981.3
Katherine Moss (Elite Jewels Daily Wage),152,Wage,-200.0,223373.3
Maria Willis (Karvin Kueen Daily Wage),152,Wage,-100.0,222919.4
Lindsey Richardson (Elite Jewels Daily Wage),152,Wage,-100.0,222819.4
Tristan Barker (Katalytica Daily Wage),152,Wage,-402.0,222417.4
Maya Turner (Karvin Kueen Daily Wage),152,Wage,-160.0,222257.4
Oscar Evans (Katar Spirits Daily Wage),152,Wage,-46.0,221987.4
Abbie Lopez (Katar Spirits Daily Wage),152,Wage,-224.0,221763.4
Elite Jewels Revenue,152,Revenue,14000.0,235699.0
Katar Spirits Revenue,152,Revenue,4881.0,240443.9
Katalytica Revenue,152,Revenue,5400.0,245715.8
Karvin Kueen Revenue,152,Revenue,1870.0,247543.6
Marketing campaigns for Elite Jewels,153,Marketing,-500.0,247043.6
Marketing campaigns for Katar Spirits,153,Marketing,-500.0,246543.6
Marketing campaigns for Katalytica,153,Marketing,-500.0,246043.6
Marketing campaigns for Karvin Kueen,153,Marketing,-500.0,245543.6
Evie Jones (Katalytica Daily Wage),153,Wage,-448.0,245095.6
Tommy Brooks (Katalytica Daily Wage),153,Wage,-44.0,245051.6
Katherine Moss (Elite Jewels Daily Wage),153,Wage,-200.0,244851.6
Maria Willis (Karvin Kueen Daily Wage),153,Wage,-100.0,244597.7
Olivia Cox (Katalytica Daily Wage),153,Wage,-432.0,244165.7
Maya Turner (Karvin Kueen Daily Wage),153,Wage,-160.0,244005.7
Oscar Evans (Katar Spirits Daily Wage),153,Wage,-46.0,243959.7
Abbie Lopez (Katar Spirits Daily Wage),153,Wage,-224.0,243735.7
Elite Jewels Revenue,153,Revenue,20000.0,263671.4
Katar Spirits Revenue,153,Revenue,6177.0,269712.3
Katalytica Revenue,153,Revenue,10800.0,280384.2
Karvin Kueen Revenue,153,Revenue,2210.0,282552.0
Marketing campaigns for Elite Jewels,154,Marketing,-500.0,282052.0
Marketing campaigns for Katar Spirits,154,Marketing,-500.0,281552.0
Marketing campaigns for Katalytica,154,Marketing,-500.0,281052.0
Marketing campaigns for Karvin Kueen,154,Marketing,-500.0,280552.0
Lily Barton (Katalytica Daily Wage),154,Wage,-258.0,280294.0
Zoe Gomez (Elite Jewels Daily Wage),154,Wage,-160.0,280134.0
Tommy Brooks (Katalytica Daily Wage),154,Wage,-44.0,280090.0
Katherine Moss (Elite Jewels Daily Wage),154,Wage,-100.0,279990.0
Maria Willis (Karvin Kueen Daily Wage),154,Wage,-75.0,279761.1
Lindsey Richardson (Elite Jewels Daily Wage),154,Wage,-100.0,279661.1
Olivia Cox (Katalytica Daily Wage),154,Wage,-432.0,279229.1
Tristan Barker (Katalytica Daily Wage),154,Wage,-536.0,278693.1
Maya Turner (Karvin Kueen Daily Wage),154,Wage,-192.0,278501.1
Oscar Evans (Katar Spirits Daily Wage),154,Wage,-46.0,278455.1
