Account,Day,Details,Amount,Balance,Transaction ID,Net Daily Revenue
Katherine Moss (Elite Jewels Daily Wage),232,Wage,-250.0,381262.6,CGCEK,
Merit Johnson (Karakata Holdings Daily Wage),232,Wage,-224.0,381512.6,,
Christian Hall (Karakata Holdings Daily Wage),232,Wage,-184.0,381736.6,,
Tommy Brooks (Katalytica Daily Wage),232,Wage,-44.0,381920.6,WK7WS,
Zoe Gomez (Elite Jewels Daily Wage),232,Wage,-256.0,381964.6,CGCEK,
Lily Barton (Katalytica Daily Wage),232,Wage,-344.0,382220.6,WK7WS,
Marketing campaigns for Karvin Kueen,232,Marketing,-500.0,443918.1,K3NN0,
Marketing campaigns for Andy's Diamonds,232,Marketing,-500.0,383012.6,FAV7U,
Evie Jones (Katalytica Daily Wage),232,Wage,-448.0,382564.6,WK7WS,
Marketing campaigns for The Green Salad,232,Marketing,-1350.0,441218.1,HQXBV,
Marketing campaigns for Elite Jewels,232,Marketing,-9350.0,431868.1,CGCEK,
Marketing campaigns for Andy's Diamonds,232,Marketing,-250.0,383512.6,FAV7U,
Marketing campaigns for Andy's Diamonds,232,Marketing,-100.0,383762.6,FAV7U,
Bank negative interest rate,232,BankNegativeInterestRate,-47505.5,384362.6,,
Marketing campaigns for Andy's Diamonds,232,Marketing,-500.0,383862.6,FAV7U,
Nicholas Sanchez (The Suits Law Firm Daily Wage),233,Wage,-363.0,297708.3,G8MHU,
Christian Turner (The Suits Law Firm Daily Wage),233,Wage,-1020.0,301647.3,G8MHU,
Helen Richardson (The Suits Law Firm Daily Wage),233,Wage,-600.0,301047.3,G8MHU,
Daisy Williams (The Suits Law Firm Daily Wage),233,Wage,-567.0,300480.3,G8MHU,
Lydia Young (The Suits Law Firm Daily Wage),233,Wage,-675.0,299805.3,G8MHU,
Katie Butler (The Suits Law Firm Daily Wage),233,Wage,-777.0,302667.3,G8MHU,
Lindsey Hall (The Suits Law Firm Daily Wage),233,Wage,-333.0,299472.3,G8MHU,
Taylor Myers (The Suits Law Firm Daily Wage),233,Wage,-384.0,299088.3,G8MHU,
Ava Rogers (The Suits Law Firm Daily Wage),233,Wage,-504.0,298584.3,G8MHU,
Elise Sanchez (The Suits Law Firm Daily Wage),233,Wage,-513.0,298071.3,G8MHU,
Isabel Roberts (The Suits Law Firm Daily Wage),233,Wage,-504.0,296658.3,G8MHU,
Owen Martin (The Suits Law Firm Daily Wage),233,Wage,-546.0,297162.3,G8MHU,
Lara Casey (The Suits Law Firm Daily Wage),233,Wage,-999.0,303444.3,G8MHU,
Mark Nelson (Andy's Diamonds Daily Wage),233,Wage,-387.0,310499.3,FAV7U,
Alan Perry (The Suits Law Firm Daily Wage),233,Wage,-792.0,305118.3,G8MHU,
Ava Powell (The Suits Law Firm Daily Wage),233,Wage,-525.0,305910.3,G8MHU,
Victor Jenkins (The Suits Law Firm Daily Wage),233,Wage,-702.0,306435.3,G8MHU,
Vincent Roberts (The Suits Law Firm Daily Wage),233,Wage,-906.0,307137.3,G8MHU,
Ruth Gray (The Suits Law Firm Daily Wage),233,Wage,-612.0,308451.3,G8MHU,
Lindsey Lewis (The Suits Law Firm Daily Wage),233,Wage,-807.0,309063.3,G8MHU,
Maria Nicholson (The Suits Law Firm Daily Wage),233,Wage,-579.0,309870.3,G8MHU,
Zoe Foster (Andy's Diamonds Daily Wage),233,Wage,-50.0,310449.3,FAV7U,
Marcus Barton (The Suits Law Firm Daily Wage),233,Wage,-612.0,296046.3,G8MHU,
Zoe Cooper (The Green Salad Daily Wage),233,Wage,-124.0,310886.3,HQXBV,
Jennifer Kelly (The Green Salad Daily Wage),233,Wage,-700.0,311010.3,HQXBV,
Helen Watson (The Green Salad Daily Wage),233,Wage,-308.0,311710.3,HQXBV,
Ralph Hughes (The Green Salad Daily Wage),233,Wage,-266.0,312018.3,HQXBV,
Danny Sullivan (The Suits Law Firm Daily Wage),233,Wage,-675.0,304443.3,G8MHU,
Alan Howard (The Suits Law Firm Daily Wage),233,Wage,-762.0,295284.3,G8MHU,
Garfield Harris (The Suits Law Firm Daily Wage),233,Wage,-675.0,284514.3,G8MHU,
Courtney Nicholson (The Suits Law Firm Daily Wage),233,Wage,-363.0,294309.3,G8MHU,
Elite Jewels Revenue,233,Revenue,189900.0,548085.9,CGCEK,
The Green Salad Revenue,233,Revenue,12072.0,359344.3,HQXBV,
Elite Couture Revenue,233,Revenue,12000.0,347522.8,YVK4E,
Karvin Kueen Revenue,233,Revenue,6290.0,336034.4,K3NN0,
Kalico Midtown Revenue,233,Revenue,24430.0,329786.6,9YO0R,
Andy's Diamonds Revenue,233,Revenue,5400.0,305673.9,FAV7U,
Katalytica Revenue,233,Revenue,3000.0,300417.3,WK7WS,
The Suits Law Firm Revenue,233,Revenue,6000.0,297545.4,G8MHU,
Katar Spirits Revenue,233,Revenue,10320.0,291746.5,TJ27F,
Tia Carr (The Suits Law Firm Daily Wage),233,Wage,-486.0,281550.3,G8MHU,
Leah Martin (The Suits Law Firm Daily Wage),233,Wage,-423.0,282036.3,G8MHU,
Georgia Hill (The Suits Law Firm Daily Wage),233,Wage,-690.0,282459.3,G8MHU,
Alexandra Ward (The Suits Law Firm Daily Wage),233,Wage,-675.0,283149.3,G8MHU,
Alisha Bell (The Suits Law Firm Daily Wage),233,Wage,-690.0,283824.3,G8MHU,
Leon Powell (Kalico Midtown Daily Wage),233,Wage,-256.0,312284.3,9YO0R,
Taylor Gray (The Suits Law Firm Daily Wage),233,Wage,-369.0,285189.3,G8MHU,
Georgina Brown (The Suits Law Firm Daily Wage),233,Wage,-1041.0,285558.3,G8MHU,
Ava Barton (The Suits Law Firm Daily Wage),233,Wage,-465.0,286599.3,G8MHU,
Margaret Smith (The Suits Law Firm Daily Wage),233,Wage,-348.0,287064.3,G8MHU,
Jason Powell (The Suits Law Firm Daily Wage),233,Wage,-717.0,287412.3,G8MHU,
Tobias Price (The Suits Law Firm Daily Wage),233,Wage,-732.0,288129.3,G8MHU,
Bonnie Howard (The Suits Law Firm Daily Wage),233,Wage,-333.0,288861.3,G8MHU,
Annabel Nelson (The Suits Law Firm Daily Wage),233,Wage,-906.0,289194.3,G8MHU,
Charlotte Murphy (The Suits Law Firm Daily Wage),233,Wage,-477.0,290100.3,G8MHU,
Traci Martin (The Suits Law Firm Daily Wage),233,Wage,-579.0,290577.3,G8MHU,
Sandy Johnson (The Suits Law Firm Daily Wage),233,Wage,-1041.0,291156.3,G8MHU,
Natalie Nelson (The Suits Law Firm Daily Wage),233,Wage,-873.0,292197.3,G8MHU,
Ben Anderson (The Suits Law Firm Daily Wage),233,Wage,-639.0,293070.3,G8MHU,
Louise Gomez (The Suits Law Firm Daily Wage),233,Wage,-600.0,293709.3,G8MHU,
Scott Robinson (The Suits Law Firm Daily Wage),233,Wage,-612.0,294672.3,G8MHU,
Wilhelmina Cooper (Kalico Midtown Daily Wage),233,Wage,-330.0,312540.3,9YO0R,
Morgan Barnes (The Suits Law Firm Daily Wage),233,Wage,-408.0,308043.3,G8MHU,
Traci Miles (Karakata Holdings Daily Wage),233,Wage,-192.0,313110.3,,
Purchase from Square Appliances,233,ItemPurchase,-100.0,333117.8,,
Marketing campaigns for The Suits Law Firm,233,Marketing,-250.0,333217.8,G8MHU,
Marketing campaigns for The Suits Law Firm,233,Marketing,-2500.0,333467.8,G8MHU,
Asia Dynamic Industries investment,233,Investment,-1000000.0,335967.8,,
31 1st Avenue Deposit,233,Deposit,-2800000.0,1335968.0,,
HG China Bonds payout,233,InvestmentPayout,1017748.0,4135968.0,,
Asia Dynamic Industries payout,233,InvestmentPayout,2367899.0,3118220.0,,
Purchase from El Gato Food Market,233,ItemPurchase,-80.0,750320.8,,
Marketing campaigns for Elite Jewels,233,Marketing,-9350.0,750400.8,CGCEK,
Marketing campaigns for The Green Salad,233,Marketing,-1350.0,759750.8,HQXBV,
Marketing campaigns for Elite Couture,233,Marketing,-1350.0,761100.8,YVK4E,
Marketing campaigns for Kalico Midtown,233,Marketing,-2750.0,762950.8,9YO0R,
Marketing campaigns for Andy's Diamonds,233,Marketing,-1350.0,765700.8,FAV7U,
Subway Ride,233,SubwayRide,-3.0,333114.8,,
Marketing campaigns for Katalytica,233,Marketing,-500.0,767050.8,WK7WS,
30 2nd Avenue Rent,233,Rent,-1158.506,473650.8,,
19 1st Avenue Rent,233,Rent,-250.508,462565.3,,
5 8th Street Rent,233,Rent,-135.4097,426315.8,,
33 5th Avenue Rent,233,Rent,-230.1557,426451.2,,
21 5th Avenue Rent,233,Rent,-145.9717,426681.4,,
7 3rd Avenue Rent,233,Rent,-42.2027,420537.3,,
Eve Sullivan (Kalico Midtown Daily Wage),233,Wage,-240.0,312870.3,9YO0R,
29 1st Avenue Rent,233,Rent,-317.3102,396044.5,,
14 1st Avenue Rent,233,Rent,-143.3651,391501.8,,
1 5th Street Rent,233,Rent,-52.13275,384645.2,,
59 3rd Street Rent,233,Rent,-75.99196,384697.3,,
30 4th Avenue Rent,233,Rent,-85.7595,373901.3,,
42 3rd Street Rent,233,Rent,-38.02306,373987.1,,
Marketing campaigns for Katar Spirits,233,Marketing,-500.0,767550.8,TJ27F,
Interior Designer,233,InteriorDesigner,-13160.0,319954.8,,
Marketing campaigns for Karvin Kueen,233,Marketing,-500.0,762450.8,K3NN0,
Subway Ride,233,SubwayRide,-3.0,318951.8,,
Zachary Hill (Warehouse #2 Daily Wage),233,Wage,-159.6,313502.3,,
Georgina Lopez (Karakata Holdings Daily Wage),233,Wage,-192.0,313661.8,,
Kathryn James (Karakata Holdings Daily Wage),233,Wage,-208.0,313853.8,,
Eliza Owens (Katar Spirits Daily Wage),233,Wage,-288.0,314061.8,TJ27F,
Justin Mitchell (Karvin Kueen Daily Wage),233,Wage,-208.0,314349.8,K3NN0,
Recruitment Campaign,233,RecruitmentCampaign,-1000.0,318954.8,,
Katie Ward (Elite Jewels Daily Wage),233,Wage,-256.0,314557.8,CGCEK,
Christen Butler (Elite Jewels Daily Wage),233,Wage,-240.0,314813.8,CGCEK,
Scarlett Davis (Elite Couture Daily Wage),233,Wage,-132.0,315053.8,YVK4E,
Mollie Martinez (Kalico Midtown Daily Wage),233,Wage,-200.0,313302.3,9YO0R,
Frederick Kelly (Elite Couture Daily Wage),233,Wage,-54.0,315401.8,YVK4E,
Douglas Collins (Karakata Holdings Daily Wage),233,Wage,-44.0,315455.8,,
Annabelle Stewart (Katar Spirits Daily Wage),233,Wage,-264.0,315499.8,TJ27F,
Oscar Evans (Katar Spirits Daily Wage),233,Wage,-46.0,315763.8,TJ27F,
Lilly Harris (Elite Couture Daily Wage),233,Wage,-216.0,315185.8,YVK4E,
Maya Turner (Karvin Kueen Daily Wage),233,Wage,-32.0,316033.8,K3NN0,
Evie Jones (Katalytica Daily Wage),233,Wage,-448.0,318503.8,WK7WS,
Lily Barton (Katalytica Daily Wage),233,Wage,-344.0,318159.8,WK7WS,
Zoe Gomez (Elite Jewels Daily Wage),233,Wage,-256.0,317903.8,CGCEK,
Tommy Brooks (Katalytica Daily Wage),233,Wage,-44.0,317859.8,WK7WS,
Mollie Jenkins (Karakata Holdings Daily Wage),233,Wage,-224.0,315809.8,,
Merit Johnson (Karakata Holdings Daily Wage),233,Wage,-224.0,317451.8,,
Katherine Moss (Elite Jewels Daily Wage),233,Wage,-200.0,317251.8,CGCEK,
Lara Norris (Warehouse #1 Daily Wage),233,Wage,-153.9,317097.8,,
Christian Hall (Karakata Holdings Daily Wage),233,Wage,-184.0,317675.8,,
Grover Brown (Karakata Holdings Daily Wage),233,Wage,-200.0,316897.8,,
Maria Willis (Karvin Kueen Daily Wage),233,Wage,-200.0,316697.8,K3NN0,
Lindsey Richardson (Elite Jewels Daily Wage),233,Wage,-200.0,316497.8,CGCEK,
Olivia Cox (Katalytica Daily Wage),233,Wage,-432.0,316065.8,WK7WS,
Lydia Young (The Suits Law Firm Daily Wage),234,Wage,-1125.0,478506.7,G8MHU,
Scott Robinson (The Suits Law Firm Daily Wage),234,Wage,-612.0,470867.7,G8MHU,
Lindsey Hall (The Suits Law Firm Daily Wage),234,Wage,-555.0,477951.7,G8MHU,
Taylor Myers (The Suits Law Firm Daily Wage),234,Wage,-640.0,477311.7,G8MHU,
Ava Rogers (The Suits Law Firm Daily Wage),234,Wage,-840.0,476471.7,G8MHU,
Elise Sanchez (The Suits Law Firm Daily Wage),234,Wage,-855.0,475616.7,G8MHU,
Courtney Nicholson (The Suits Law Firm Daily Wage),234,Wage,-363.0,470504.7,G8MHU,
Nicholas Sanchez (The Suits Law Firm Daily Wage),234,Wage,-605.0,475011.7,G8MHU,
Owen Martin (The Suits Law Firm Daily Wage),234,Wage,-910.0,474101.7,G8MHU,
Alan Howard (The Suits Law Firm Daily Wage),234,Wage,-762.0,471479.7,G8MHU,
Marcus Barton (The Suits Law Firm Daily Wage),234,Wage,-1020.0,472241.7,G8MHU,
Isabel Roberts (The Suits Law Firm Daily Wage),234,Wage,-840.0,473261.7,G8MHU,
Daisy Williams (The Suits Law Firm Daily Wage),234,Wage,-945.0,479631.7,G8MHU,
Vincent Roberts (The Suits Law Firm Daily Wage),234,Wage,-1510.0,490726.7,G8MHU,
Christian Turner (The Suits Law Firm Daily Wage),234,Wage,-1700.0,481576.7,G8MHU,
Katie Butler (The Suits Law Firm Daily Wage),234,Wage,-1295.0,483276.7,G8MHU,
Lara Casey (The Suits Law Firm Daily Wage),234,Wage,-1665.0,484571.7,G8MHU,
Danny Sullivan (The Suits Law Firm Daily Wage),234,Wage,-1125.0,486236.7,G8MHU,
Alan Perry (The Suits Law Firm Daily Wage),234,Wage,-1320.0,487361.7,G8MHU,
Ava Powell (The Suits Law Firm Daily Wage),234,Wage,-875.0,488681.7,G8MHU,
Victor Jenkins (The Suits Law Firm Daily Wage),234,Wage,-1170.0,489556.7,G8MHU,
Morgan Barnes (The Suits Law Firm Daily Wage),234,Wage,-680.0,492236.7,G8MHU,
Ruth Gray (The Suits Law Firm Daily Wage),234,Wage,-1020.0,492916.7,G8MHU,
Lindsey Lewis (The Suits Law Firm Daily Wage),234,Wage,-1345.0,493936.7,G8MHU,
Maria Nicholson (The Suits Law Firm Daily Wage),234,Wage,-965.0,495281.7,G8MHU,
Louise Gomez (The Suits Law Firm Daily Wage),234,Wage,-600.0,469904.7,G8MHU,
Helen Richardson (The Suits Law Firm Daily Wage),234,Wage,-1000.0,480576.7,G8MHU,
Ben Anderson (The Suits Law Firm Daily Wage),234,Wage,-639.0,469265.7,G8MHU,
Kalico Midtown Revenue,234,Revenue,26410.0,511402.0,9YO0R,
Sandy Johnson (The Suits Law Firm Daily Wage),234,Wage,-1041.0,467351.7,G8MHU,
Elite Jewels Revenue,234,Revenue,233800.0,791860.3,CGCEK,
The Green Salad Revenue,234,Revenue,13841.0,559218.8,HQXBV,
Elite Couture Revenue,234,Revenue,29000.0,545628.3,YVK4E,
Karvin Kueen Revenue,234,Revenue,5780.0,517139.8,K3NN0,
Andy's Diamonds Revenue,234,Revenue,4860.0,485309.3,FAV7U,
Katalytica Revenue,234,Revenue,3000.0,480592.7,WK7WS,
The Suits Law Firm Revenue,234,Revenue,12000.0,477720.8,G8MHU,
Katar Spirits Revenue,234,Revenue,8328.0,465921.9,TJ27F,
Kevin Bennett (The Suits Law Firm Daily Wage),234,Wage,-28.0,457717.7,G8MHU,
Tia Carr (The Suits Law Firm Daily Wage),234,Wage,-486.0,457745.7,G8MHU,
Leah Martin (The Suits Law Firm Daily Wage),234,Wage,-423.0,458231.7,G8MHU,
Georgia Hill (The Suits Law Firm Daily Wage),234,Wage,-690.0,458654.7,G8MHU,
Natalie Nelson (The Suits Law Firm Daily Wage),234,Wage,-873.0,468392.7,G8MHU,
Alexandra Ward (The Suits Law Firm Daily Wage),234,Wage,-675.0,459344.7,G8MHU,
Alisha Bell (The Suits Law Firm Daily Wage),234,Wage,-690.0,460019.7,G8MHU,
Garfield Harris (The Suits Law Firm Daily Wage),234,Wage,-675.0,460709.7,G8MHU,
Taylor Gray (The Suits Law Firm Daily Wage),234,Wage,-369.0,461384.7,G8MHU,
Georgina Brown (The Suits Law Firm Daily Wage),234,Wage,-1041.0,461753.7,G8MHU,
Ava Barton (The Suits Law Firm Daily Wage),234,Wage,-465.0,462794.7,G8MHU,
Margaret Smith (The Suits Law Firm Daily Wage),234,Wage,-348.0,463259.7,G8MHU,
Jason Powell (The Suits Law Firm Daily Wage),234,Wage,-717.0,463607.7,G8MHU,
Tobias Price (The Suits Law Firm Daily Wage),234,Wage,-732.0,464324.7,G8MHU,
Bonnie Howard (The Suits Law Firm Daily Wage),234,Wage,-333.0,465056.7,G8MHU,
Annabel Nelson (The Suits Law Firm Daily Wage),234,Wage,-906.0,465389.7,G8MHU,
Charlotte Murphy (The Suits Law Firm Daily Wage),234,Wage,-477.0,466295.7,G8MHU,
Traci Martin (The Suits Law Firm Daily Wage),234,Wage,-579.0,466772.7,G8MHU,
Zoe Foster (Andy's Diamonds Daily Wage),234,Wage,-50.0,496246.7,FAV7U,
Mark Nelson (Andy's Diamonds Daily Wage),234,Wage,-387.0,496296.7,FAV7U,
Mollie Jenkins (Karakata Holdings Daily Wage),234,Wage,-224.0,502173.3,,
Jennifer Kelly (The Green Salad Daily Wage),234,Wage,-350.0,496931.7,HQXBV,
Christian Hall (Karakata Holdings Daily Wage),234,Wage,-184.0,504375.2,,
Tommy Brooks (Katalytica Daily Wage),234,Wage,-44.0,504559.2,WK7WS,
Evie Jones (Katalytica Daily Wage),234,Wage,-448.0,504603.2,WK7WS,
Marketing campaigns for Elite Jewels,234,Marketing,-9350.0,505051.2,CGCEK,
Marketing campaigns for The Green Salad,234,Marketing,-1350.0,514401.2,HQXBV,
Marketing campaigns for Elite Couture,234,Marketing,-1350.0,515751.2,YVK4E,
Marketing campaigns for Karvin Kueen,234,Marketing,-500.0,517101.2,K3NN0,
Marketing campaigns for Andy's Diamonds,234,Marketing,-1350.0,520351.2,FAV7U,
Marketing campaigns for Katalytica,234,Marketing,-500.0,521701.2,WK7WS,
Marketing campaigns for The Suits Law Firm,234,Marketing,-2750.0,522201.2,G8MHU,
Marketing campaigns for Katar Spirits,234,Marketing,-500.0,524951.2,TJ27F,
Delivery from SeaSide Internationals,234,ImportDelivery,-22634.7,525451.2,,
30 2nd Avenue Rent,234,Rent,-1158.506,358185.8,,
19 1st Avenue Rent,234,Rent,-250.508,347272.3,,
5 8th Street Rent,234,Rent,-135.4097,335522.8,,
33 5th Avenue Rent,234,Rent,-230.1557,335658.3,,
21 5th Avenue Rent,234,Rent,-145.9717,335888.4,,
7 3rd Avenue Rent,234,Rent,-42.2027,329744.4,,
29 1st Avenue Rent,234,Rent,-317.3102,305356.6,,
14 1st Avenue Rent,234,Rent,-143.3651,300273.9,,
1 5th Street Rent,234,Rent,-52.13275,297417.3,,
59 3rd Street Rent,234,Rent,-75.99196,297469.4,,
31 1st Avenue Rent,234,Rent,-201.106,291545.4,,
30 4th Avenue Rent,234,Rent,-85.7595,281426.5,,
42 3rd Street Rent,234,Rent,-38.02306,281512.2,,
Merit Johnson (Karakata Holdings Daily Wage),234,Wage,-224.0,504151.2,,
Lara Norris (Warehouse #1 Daily Wage),234,Wage,-153.9,503997.3,,
Marketing campaigns for Kalico Midtown,234,Marketing,-2750.0,517601.2,9YO0R,
Maria Willis (Karvin Kueen Daily Wage),234,Wage,-200.0,503597.3,K3NN0,
Joel Rogers (Kalico Midtown Daily Wage),234,Wage,-240.0,498163.7,9YO0R,
Eve Sullivan (Kalico Midtown Daily Wage),234,Wage,-240.0,498403.7,9YO0R,
Helen Watson (The Green Salad Daily Wage),234,Wage,-616.0,497281.7,HQXBV,
Traci Miles (Karakata Holdings Daily Wage),234,Wage,-192.0,498643.7,,
Danielle Mitchell (Kalico Midtown Daily Wage),234,Wage,-250.0,498835.7,9YO0R,
Emilia White (Kalico Midtown Daily Wage),234,Wage,-224.0,499085.7,9YO0R,
Grover Brown (Karakata Holdings Daily Wage),234,Wage,-200.0,503797.3,,
Zachary Hill (Warehouse #2 Daily Wage),234,Wage,-159.6,499309.7,,
Georgina Lopez (Karakata Holdings Daily Wage),234,Wage,-192.0,499469.3,,
Kathryn James (Karakata Holdings Daily Wage),234,Wage,-208.0,499661.3,,
Ralph Hughes (The Green Salad Daily Wage),234,Wage,-266.0,497897.7,HQXBV,
Bradley Turner (Karvin Kueen Daily Wage),234,Wage,-240.0,500157.3,K3NN0,
Katie Ward (Elite Jewels Daily Wage),234,Wage,-256.0,500397.3,CGCEK,
Eliza Owens (Katar Spirits Daily Wage),234,Wage,-288.0,499869.3,TJ27F,
Lara Wright (Elite Couture Daily Wage),234,Wage,-232.0,501133.3,YVK4E,
Lilly Harris (Elite Couture Daily Wage),234,Wage,-216.0,501365.3,YVK4E,
Frederick Kelly (Elite Couture Daily Wage),234,Wage,-54.0,501581.3,YVK4E,
Dominic Fisher (Elite Jewels Daily Wage),234,Wage,-184.0,501635.3,CGCEK,
Lindsey Richardson (Elite Jewels Daily Wage),234,Wage,-200.0,503397.3,CGCEK,
Olivia Cox (Katalytica Daily Wage),234,Wage,-432.0,502965.3,WK7WS,
Douglas Collins (Karakata Holdings Daily Wage),234,Wage,-44.0,501819.3,,
Annabelle Stewart (Katar Spirits Daily Wage),234,Wage,-264.0,501863.3,TJ27F,
Oscar Evans (Katar Spirits Daily Wage),234,Wage,-46.0,502127.3,TJ27F,
Christen Butler (Elite Jewels Daily Wage),234,Wage,-480.0,500653.3,CGCEK,
Tristan Barker (Katalytica Daily Wage),234,Wage,-536.0,502429.3,WK7WS,
Zoe Cooper (The Green Salad Daily Wage),234,Wage,-248.0,496683.7,HQXBV,
Maya Turner (Karvin Kueen Daily Wage),234,Wage,-32.0,502397.3,K3NN0,
Joel Rogers (Kalico Midtown Daily Wage),235,Wage,-240.0,592048.5,9YO0R,
Harvey Anderson (The Green Salad Daily Wage),235,Wage,-224.0,590942.5,HQXBV,
Helen Watson (The Green Salad Daily Wage),235,Wage,-616.0,591166.5,HQXBV,
Zoe Cooper (The Green Salad Daily Wage),235,Wage,-186.0,590756.5,HQXBV,
Mark Nelson (Andy's Diamonds Daily Wage),235,Wage,-387.0,590369.5,FAV7U,
Zoe Foster (Andy's Diamonds Daily Wage),235,Wage,-50.0,590319.5,FAV7U,
Ralph Hughes (The Green Salad Daily Wage),235,Wage,-266.0,591782.5,HQXBV,
Eve Sullivan (Kalico Midtown Daily Wage),235,Wage,-300.0,592288.5,9YO0R,
Bradley Turner (Karvin Kueen Daily Wage),235,Wage,-240.0,593908.1,K3NN0,
Danielle Mitchell (Kalico Midtown Daily Wage),235,Wage,-200.0,592780.5,9YO0R,
Emilia White (Kalico Midtown Daily Wage),235,Wage,-224.0,592980.5,9YO0R,
Zachary Hill (Warehouse #2 Daily Wage),235,Wage,-159.6,593204.5,,
Georgina Lopez (Karakata Holdings Daily Wage),235,Wage,-192.0,593364.1,,
Kathryn James (Karakata Holdings Daily Wage),235,Wage,-208.0,593556.1,,
Eliza Owens (Katar Spirits Daily Wage),235,Wage,-144.0,593764.1,TJ27F,
Katie Ward (Elite Jewels Daily Wage),235,Wage,-256.0,594148.1,CGCEK,
Scarlett Davis (Elite Couture Daily Wage),235,Wage,-264.0,594404.1,YVK4E,
Maria Nicholson (The Suits Law Firm Daily Wage),235,Wage,-386.0,589933.5,G8MHU,
Traci Miles (Karakata Holdings Daily Wage),235,Wage,-192.0,592588.5,,
Ruth Gray (The Suits Law Firm Daily Wage),235,Wage,-408.0,589525.5,G8MHU,
Elite Jewels Revenue,235,Revenue,267600.0,958142.1,CGCEK,
Daisy Williams (The Suits Law Firm Daily Wage),235,Wage,-378.0,588797.5,G8MHU,
Lilly Harris (Elite Couture Daily Wage),235,Wage,-288.0,594668.1,YVK4E,
The Green Salad Revenue,235,Revenue,15293.0,691700.6,HQXBV,
Elite Couture Revenue,235,Revenue,33000.0,676658.1,YVK4E,
Karvin Kueen Revenue,235,Revenue,6290.0,644169.6,K3NN0,
Kalico Midtown Revenue,235,Revenue,26872.0,637921.8,9YO0R,
Andy's Diamonds Revenue,235,Revenue,5400.0,611367.1,FAV7U,
Katalytica Revenue,235,Revenue,7000.0,606110.5,WK7WS,
The Suits Law Firm Revenue,235,Revenue,3000.0,599238.6,G8MHU,
Ava Powell (The Suits Law Firm Daily Wage),235,Wage,-350.0,589175.5,G8MHU,
Katar Spirits Revenue,235,Revenue,10320.0,596439.8,TJ27F,
Bonnie Howard (The Suits Law Firm Daily Wage),235,Wage,-222.0,586363.5,G8MHU,
Traci Martin (The Suits Law Firm Daily Wage),235,Wage,-386.0,586585.5,G8MHU,
Louise Gomez (The Suits Law Firm Daily Wage),235,Wage,-400.0,586971.5,G8MHU,
Owen Martin (The Suits Law Firm Daily Wage),235,Wage,-364.0,587371.5,G8MHU,
Nicholas Sanchez (The Suits Law Firm Daily Wage),235,Wage,-242.0,587735.5,G8MHU,
Elise Sanchez (The Suits Law Firm Daily Wage),235,Wage,-342.0,587977.5,G8MHU,
Taylor Myers (The Suits Law Firm Daily Wage),235,Wage,-256.0,588319.5,G8MHU,
Lindsey Hall (The Suits Law Firm Daily Wage),235,Wage,-222.0,588575.5,G8MHU,
Public parking for UMC Nunavut,235,PublicParking,-120.0,586243.5,,
Frederick Kelly (Elite Couture Daily Wage),235,Wage,-27.0,594956.1,YVK4E,
Maya Turner (Karvin Kueen Daily Wage),235,Wage,-32.0,596215.1,K3NN0,
Douglas Collins (Karakata Holdings Daily Wage),235,Wage,-44.0,595167.1,,
Marketing campaigns for Katalytica,235,Marketing,-500.0,615519.0,WK7WS,
Marketing campaigns for The Suits Law Firm,235,Marketing,-2750.0,616019.0,G8MHU,
Marketing campaigns for Katar Spirits,235,Marketing,-500.0,618769.0,TJ27F,
Delivery from United Ocean Import ,235,ImportDelivery,-172591.2,619269.0,,
30 2nd Avenue Rent,235,Rent,-1158.506,558060.3,,
19 1st Avenue Rent,235,Rent,-250.508,545377.8,,
5 8th Street Rent,235,Rent,-135.4097,516628.3,,
33 5th Avenue Rent,235,Rent,-230.1557,516763.7,,
21 5th Avenue Rent,235,Rent,-145.9717,516993.8,,
7 3rd Avenue Rent,235,Rent,-42.2027,511359.8,,
29 1st Avenue Rent,235,Rent,-317.3102,484992.0,,
Dominic Fisher (Elite Jewels Daily Wage),235,Wage,-184.0,594983.1,CGCEK,
1 5th Street Rent,235,Rent,-52.13275,477592.7,,
59 3rd Street Rent,235,Rent,-75.99196,477644.8,,
31 1st Avenue Rent,235,Rent,-201.106,465720.8,,
30 4th Avenue Rent,235,Rent,-85.7595,457593.9,,
42 3rd Street Rent,235,Rent,-38.02306,457679.7,,
Marketing campaigns for Andy's Diamonds,235,Marketing,-1350.0,614169.0,FAV7U,
Marketing campaigns for Kalico Midtown,235,Marketing,-2750.0,611419.0,9YO0R,
14 1st Avenue Rent,235,Rent,-143.3651,480449.3,,
Marketing campaigns for Elite Couture,235,Marketing,-1350.0,609569.0,YVK4E,
Curtis Norris (Elite Jewels Daily Wage),235,Wage,-368.0,595211.1,CGCEK,
Marketing campaigns for Karvin Kueen,235,Marketing,-500.0,610919.0,K3NN0,
Annabelle Stewart (Katar Spirits Daily Wage),235,Wage,-198.0,595747.1,TJ27F,
Oscar Evans (Katar Spirits Daily Wage),235,Wage,-46.0,595945.1,TJ27F,
Mollie Jenkins (Karakata Holdings Daily Wage),235,Wage,-224.0,595991.1,,
Tristan Barker (Katalytica Daily Wage),235,Wage,-536.0,596247.1,WK7WS,
Olivia Cox (Katalytica Daily Wage),235,Wage,-432.0,596783.1,WK7WS,
Lindsey Richardson (Elite Jewels Daily Wage),235,Wage,-200.0,597215.1,CGCEK,
Maria Willis (Karvin Kueen Daily Wage),235,Wage,-200.0,597415.1,K3NN0,
